Wavelength,Intensity,Column,Row,Frame,ROI
N/A,3.0087890625,0,0,1,1
N/A,3.5042724609375,1,0,1,1
N/A,3.9632568359375,2,0,1,1
N/A,-0.0999755859375,3,0,1,1
N/A,3.7728271484375,4,0,1,1
N/A,3.6893310546875,5,0,1,1
N/A,4.1240234375,6,0,1,1
N/A,3.44647216796875,7,0,1,1
N/A,3.9119873046875,8,0,1,1
N/A,3.8572998046875,9,0,1,1
N/A,3.27081298828125,10,0,1,1
N/A,3.61016845703125,11,0,1,1
N/A,3.629638671875,12,0,1,1
N/A,3.1829833984375,13,0,1,1
N/A,4.9468994140625,14,0,1,1
N/A,4.42047119140625,15,0,1,1
N/A,4.27764892578125,16,0,1,1
N/A,3.83599853515625,17,0,1,1
N/A,4.2618408203125,18,0,1,1
N/A,4.2806396484375,19,0,1,1
N/A,3.9381103515625,20,0,1,1
N/A,4.927001953125,21,0,1,1
N/A,4.3426513671875,22,0,1,1
N/A,4.85198974609375,23,0,1,1
N/A,4.68670654296875,24,0,1,1
N/A,4.40435791015625,25,0,1,1
N/A,4.33203125,26,0,1,1
N/A,6.74249267578125,27,0,1,1
N/A,5.45465087890625,28,0,1,1
N/A,5.2763671875,29,0,1,1
N/A,6.098876953125,30,0,1,1
N/A,5.3572998046875,31,0,1,1
N/A,5.921875,32,0,1,1
N/A,10.02996826171875,33,0,1,1
N/A,5.30035400390625,34,0,1,1
N/A,6.39483642578125,35,0,1,1
N/A,5.97967529296875,36,0,1,1
N/A,5.98028564453125,37,0,1,1
N/A,6.676513671875,38,0,1,1
N/A,7.5333251953125,39,0,1,1
N/A,8.3179931640625,40,0,1,1
N/A,8.9483642578125,41,0,1,1
N/A,9.587158203125,42,0,1,1
N/A,10.33551025390625,43,0,1,1
N/A,13.0333251953125,44,0,1,1
N/A,12.4024658203125,45,0,1,1
N/A,14.420166015625,46,0,1,1
N/A,17.5888671875,47,0,1,1
N/A,18.60980224609375,48,0,1,1
N/A,22.74951171875,49,0,1,1
N/A,27.80999755859375,50,0,1,1
N/A,41.84747314453125,51,0,1,1
N/A,69.01800537109375,52,0,1,1
N/A,107.51214599609375,53,0,1,1
N/A,146.37030029296875,54,0,1,1
N/A,178.177978515625,55,0,1,1
N/A,207.010009765625,56,0,1,1
N/A,237.03948974609375,57,0,1,1
N/A,272.98095703125,58,0,1,1
N/A,343.35552978515625,59,0,1,1
N/A,482.807861328125,60,0,1,1
N/A,840.39935302734375,61,0,1,1
N/A,3769.45458984375,62,0,1,1
N/A,23164.7578125,63,0,1,1
N/A,28466.111328125,64,0,1,1
N/A,23859.404296875,65,0,1,1
N/A,4594.43115234375,66,0,1,1
N/A,1203.76416015625,67,0,1,1
N/A,705.3262939453125,68,0,1,1
N/A,462.72515869140625,69,0,1,1
N/A,327.926513671875,70,0,1,1
N/A,270.5411376953125,71,0,1,1
N/A,234.76220703125,72,0,1,1
N/A,198.46002197265625,73,0,1,1
N/A,163.99969482421875,74,0,1,1
N/A,123.721923828125,75,0,1,1
N/A,83.52935791015625,76,0,1,1
N/A,53.32464599609375,77,0,1,1
N/A,36.1978759765625,78,0,1,1
N/A,29.02081298828125,79,0,1,1
N/A,25.7099609375,80,0,1,1
N/A,22.5283203125,81,0,1,1
N/A,19.358154296875,82,0,1,1
N/A,16.38702392578125,83,0,1,1
N/A,15.9530029296875,84,0,1,1
N/A,14.0811767578125,85,0,1,1
N/A,12.36419677734375,86,0,1,1
N/A,11.2125244140625,87,0,1,1
N/A,10.7308349609375,88,0,1,1
N/A,10.26898193359375,89,0,1,1
N/A,8.99481201171875,90,0,1,1
N/A,9.2071533203125,91,0,1,1
N/A,8.26153564453125,92,0,1,1
N/A,7.6075439453125,93,0,1,1
N/A,6.78985595703125,94,0,1,1
N/A,7.46630859375,95,0,1,1
N/A,6.9000244140625,96,0,1,1
N/A,6.9420166015625,97,0,1,1
N/A,6.9556884765625,98,0,1,1
N/A,6.4100341796875,99,0,1,1
N/A,5.77618408203125,100,0,1,1
N/A,6.09185791015625,101,0,1,1
N/A,6.4671630859375,102,0,1,1
N/A,6.4229736328125,103,0,1,1
N/A,5.57366943359375,104,0,1,1
N/A,6.32745361328125,105,0,1,1
N/A,3.8885498046875,106,0,1,1
N/A,5.40838623046875,107,0,1,1
N/A,5.9088134765625,108,0,1,1
N/A,5.5201416015625,109,0,1,1
N/A,4.47515869140625,110,0,1,1
N/A,5.017822265625,111,0,1,1
N/A,5.111328125,112,0,1,1
N/A,4.2012939453125,113,0,1,1
N/A,4.18865966796875,114,0,1,1
N/A,4.14801025390625,115,0,1,1
N/A,4.57513427734375,116,0,1,1
N/A,2.0833740234375,117,0,1,1
N/A,4.241455078125,118,0,1,1
N/A,4.1907958984375,119,0,1,1
N/A,2.6148681640625,120,0,1,1
N/A,4.486083984375,121,0,1,1
N/A,3.6011962890625,122,0,1,1
N/A,4.351318359375,123,0,1,1
N/A,5.2716064453125,124,0,1,1
N/A,4.02484130859375,125,0,1,1
N/A,4.1031494140625,126,0,1,1
N/A,3.607666015625,127,0,1,1
