#SPE version: 3.0
#Frame width: 600
#Frame height: 1
#Number of frames: 1
#Laser Wavelength (nm): 532
#Central Wavelength (nm): 532
#Date collected: 2017-02-21
#Time collected (hhmmss): 17:05:33
Wavelength	Frame 1	
526.11974309628954	20576.3
526.131306793124	20963.9
526.14287027302555	21298.9
526.15443353597027	21604.8
526.16599658193422	21078.9
526.17755941089354	20674.8
526.18912202282434	20963.4
526.20068441770275	21469.3
526.21224659550478	21441.3
526.22380855620668	20881.4
526.23537029978445	20462.1
526.24693182621434	19609.0
526.25849313547224	19549.6
526.27005422753439	19751.6
526.28161510237692	19820.2
526.293175759976	20085.7
526.3047362003075	19860.5
526.31629642334781	21658.2
526.327856429073	22624.0
526.33941621745907	23285.3
526.35097578848229	23432.3
526.36253514211865	22462.0
526.3740942783445	22653.6
526.38565319713564	21376.9
526.3972118984683	20393.9
526.40877038231883	20526.5
526.420328648663	19726.3
526.43188669747735	19921.9
526.4434445287377	20488.6
526.45500214242031	20451.7
526.46655953850131	20569.6
526.47811671695683	20996.3
526.48967367776288	20996.1
526.50123042089592	21779.8
526.51278694633174	22209.6
526.5243432540467	22756.5
526.5358993440168	22460.3
526.54745521621828	22288.0
526.55901087062728	23213.1
526.57056630722	22936.4
526.58212152597252	22235.3
526.5936765268608	21513.2
526.60523130986132	20408.4
526.6167858749501	20201.9
526.62834022210325	20438.9
526.6398943512969	20406.9
526.65144826250742	20235.7
526.66300195571068	19391.9
526.674555430883	19030.1
526.68610868800056	20790.4
526.69766172703942	20416.9
526.70921454797576	19952.3
526.72076715078583	19978.5
526.73231953544575	20136.7
526.74387170193165	21458.7
526.75542365021965	22563.1
526.76697538028611	24130.4
526.778526892107	26419.5
526.79007818565867	27650.1
526.80162926091714	27793.7
526.81318011785868	27532.9
526.82473075645942	25747.3
526.83628117669548	24098.1
526.84783137854311	23084.6
526.85938136197854	22188.0
526.87093112697778	21247.6
526.88248067351731	20364.2
526.8940300015729	19987.2
526.90557911112114	19770.8
526.91712800213793	20069.6
526.92867667459961	19333.2
526.94022512848221	19542.1
526.95177336376219	20652.1
526.96332138041544	20499.5
526.97486917841832	20928.6
526.98641675774707	22331.7
526.99796411837769	24029.2
527.00951126028667	24333.4
527.0210581834499	23825.4
527.03260488784372	23102.1
527.04415137344427	21333.3
527.05569764022789	20576.6
527.06724368817061	20442.7
527.07878951724877	20641.9
527.09033512743849	20762.8
527.101880518716	21364.0
527.1134256910575	23720.2
527.12497064443926	25133.0
527.13651537883743	25545.8
527.14805989422825	25476.5
527.15960419058786	24554.4
527.17114826789248	23780.5
527.18269212611847	22620.9
527.194235765242	24080.1
527.20577918523918	26077.5
527.21732238608615	27738.0
527.22886536775945	28880.4
527.240408130235	28737.5
527.2519506734892	28007.8
527.26349299749813	25500.0
527.27503510223823	23644.7
527.28657698768552	21054.8
527.29811865381635	21165.3
527.30966010060672	20660.2
527.32120132803334	20012.7
527.33274233607187	20463.6
527.344283124699	19841.0
527.35582369389067	20265.7
527.3673640436233	20899.4
527.378904173873	20611.6
527.39044408461621	21348.1
527.40198377582885	21287.8
527.41352324748743	23390.1
527.42506249956807	25890.6
527.436601532047	29361.8
527.44814034490059	31610.2
527.459678938105	32527.6
527.47121731163634	30601.9
527.48275546547109	28898.6
527.49429339958533	26344.4
527.50583111395554	23628.6
527.51736860855772	21270.6
527.52890588336822	20753.2
527.54044293836341	20728.0
527.55197977351929	19989.8
527.56351638881233	19984.9
527.57505278421877	20190.3
527.58658895971473	20461.8
527.59812491527657	20750.7
527.60966065088064	21322.0
