#SPE version: 3.0
#Frame width: 600
#Frame height: 1
#Number of frames: 1
#Laser Wavelength (nm): 532
#Central Wavelength (nm): 532
#Date collected: 2017-02-21
#Time collected (hhmmss): 17:02:49
Wavelength	Frame 1	
526.11974309628954	20999
526.131306793124	21208
526.14287027302555	20555
526.15443353597027	21132
526.16599658193422	20219
526.17755941089354	20251
526.18912202282434	19930
526.20068441770275	21083
526.21224659550478	20923
526.22380855620668	19990
526.23537029978445	20220
526.24693182621434	19361
526.25849313547224	19388
526.27005422753439	19570
526.28161510237692	19564
526.293175759976	19601
526.3047362003075	19280
526.31629642334781	20957
526.327856429073	21843
526.33941621745907	22924
526.35097578848229	24383
526.36253514211865	24036
526.3740942783445	23246
526.38565319713564	21141
526.3972118984683	20173
526.40877038231883	20491
526.420328648663	19690
526.43188669747735	19803
526.4434445287377	20125
526.45500214242031	20509
526.46655953850131	20459
526.47811671695683	20213
526.48967367776288	20278
526.50123042089592	22196
526.51278694633174	23202
526.5243432540467	24092
526.5358993440168	23197
526.54745521621828	22118
526.55901087062728	22714
526.57056630722	22215
526.58212152597252	21041
526.5936765268608	20925
526.60523130986132	20169
526.6167858749501	20079
526.62834022210325	19974
526.6398943512969	20183
526.65144826250742	19906
526.66300195571068	19020
526.674555430883	18829
526.68610868800056	20652
526.69766172703942	20228
526.70921454797576	19793
526.72076715078583	19461
526.73231953544575	19625
526.74387170193165	21062
526.75542365021965	21894
526.76697538028611	22418
526.778526892107	24351
526.79007818565867	26452
526.80162926091714	26351
526.81318011785868	25638
526.82473075645942	23294
526.83628117669548	22270
526.84783137854311	21502
526.85938136197854	20957
526.87093112697778	20747
526.88248067351731	20168
526.8940300015729	19534
526.90557911112114	19493
526.91712800213793	19969
526.92867667459961	19494
526.94022512848221	19260
526.95177336376219	20339
526.96332138041544	20480
526.97486917841832	21195
526.98641675774707	21735
526.99796411837769	23418
527.00951126028667	24342
527.0210581834499	23326
527.03260488784372	22909
527.04415137344427	22770
527.05569764022789	20913
527.06724368817061	20109
527.07878951724877	20145
527.09033512743849	20571
527.101880518716	21808
527.1134256910575	23855
527.12497064443926	23953
