#SPE version: 3.0
#Frame width: 600
#Frame height: 1
#Number of frames: 1
#Laser Wavelength (nm): 532
#Central Wavelength (nm): 532
#Date collected: 2017-02-21
#Time collected (hhmmss): 17:01:19
Wavelength	Frame 1	
526.11974309628954	10278
526.131306793124	10281
526.14287027302555	10483
526.15443353597027	10884
526.16599658193422	10987
526.17755941089354	10868
526.18912202282434	12104
526.20068441770275	11903
526.21224659550478	11809
526.22380855620668	11737
526.23537029978445	11710
526.24693182621434	11849
526.25849313547224	11295
526.27005422753439	11106
526.28161510237692	12250
526.293175759976	12696
526.3047362003075	11936
526.31629642334781	12372
526.327856429073	13606
526.33941621745907	13024
526.35097578848229	12975
526.36253514211865	12136
526.3740942783445	13793
526.38565319713564	12154
526.3972118984683	11408
526.40877038231883	11896
526.420328648663	11865
526.43188669747735	12692
526.4434445287377	13982
526.45500214242031	13156
526.46655953850131	13381
526.47811671695683	12597
526.48967367776288	11198
526.50123042089592	11186
526.51278694633174	11690
526.5243432540467	11596
526.5358993440168	12075
526.54745521621828	12264
526.55901087062728	14745
526.57056630722	13581
526.58212152597252	12500
526.5936765268608	11391
526.60523130986132	11059
526.6167858749501	11121
526.62834022210325	11503
526.6398943512969	11912
526.65144826250742	12011
526.66300195571068	11466
526.674555430883	11708
526.68610868800056	12310
526.69766172703942	12272
526.70921454797576	11843
526.72076715078583	12831
526.73231953544575	13956
526.74387170193165	14511
526.75542365021965	15454
526.76697538028611	15418
526.778526892107	15556
526.79007818565867	15649
526.80162926091714	16423
526.81318011785868	17681
526.82473075645942	17361
526.83628117669548	17662
526.84783137854311	16272
526.85938136197854	13714
526.87093112697778	13582
526.88248067351731	14572
526.8940300015729	13440
526.90557911112114	13785
526.91712800213793	14263
526.92867667459961	12939
526.94022512848221	11633
526.95177336376219	12259
526.96332138041544	11599
526.97486917841832	12019
526.98641675774707	12651
526.99796411837769	12450
527.00951126028667	11718
527.0210581834499	12652
527.03260488784372	13138
527.04415137344427	12279
527.05569764022789	13943
527.06724368817061	13676
527.07878951724877	14008
527.09033512743849	15981
527.101880518716	14926
527.1134256910575	15057
527.12497064443926	16192
527.13651537883743	16847
527.14805989422825	16607
527.15960419058786	15365
527.17114826789248	15908
527.18269212611847	17736
527.194235765242	17619
527.20577918523918	19502
527.21732238608615	19983
527.22886536775945	19252
527.240408130235	16964
527.2519506734892	17322
527.26349299749813	17450
527.27503510223823	18334
527.28657698768552	17106
527.29811865381635	15682
527.30966010060672	15961
527.32120132803334	15349
527.33274233607187	15829
527.344283124699	14102
527.35582369389067	13136
527.3673640436233	13662
527.378904173873	14755
527.39044408461621	15925
527.40198377582885	16393
527.41352324748743	17079
527.42506249956807	18379
527.436601532047	19078
527.44814034490059	18668
527.459678938105	18728
527.47121731163634	17969
527.48275546547109	16560
527.49429339958533	16267
527.50583111395554	16700
527.51736860855772	16514
527.52890588336822	15086
527.54044293836341	14461
527.55197977351929	14435
527.56351638881233	15021
527.57505278421877	13970
527.58658895971473	13574
527.59812491527657	14810
527.60966065088064	15440
527.62119616650307	14488
527.63273146212009	14514
527.64426653770818	16293
527.65580139324334	17002
527.667336028702	18226
527.67887044406052	20393
527.690404639295	18518
527.70193861438179	20554
527.713472369297	24260
527.72500590401717	24473
527.73653921851849	24141
527.74807231277714	26562
527.75960518676948	25155
527.77113784047174	19782
527.78267027386028	18513
527.79420248691144	17743
527.80573447960126	17560
527.81726625190618	19232
527.82879780380256	19987
527.84032913526664	18243
527.85186024627467	18779
527.86339113680287	17992
527.87492180682762	20389
527.88645225632524	20414
527.897982485272	17238
527.90951249364412	15311
527.92104228141818	13957
527.93257184857009	13993
527.94410119507643	15571
527.95563032091331	13190
527.96715922605722	12126
527.97868791048427	12960
527.99021637417093	12476
528.00174461709344	13398
528.01327263922815	13573
528.0248004405513	14985
528.03632802103925	18195
528.04785538066824	19889
528.05938251941473	19760
528.07090943725484	22515
528.082436134165	28982
528.09396261012159	32283
528.10548886510094	29530
528.11701489907921	28715
528.12854071203276	28130
528.140066303938	26005
528.15159167477123	24821
528.16311682450873	26949
528.17464175312693	24046
528.186166460602	21978
528.19769094691026	24433
528.20921521202831	22596
528.22073925593224	18403
528.23226307859841	16906
528.24378668000315	14179
528.255310060123	13005
528.266833218934	13221
528.27835615641277	13927
528.28987887253538	15115
528.30140136727834	17583
528.3129236406179	16380
528.3244456925305	16375
528.33596752299252	17835
528.34748913198007	20250
528.35901051946973	20189
528.37053168543775	21604
528.38205262986048	20629
528.3935733527145	20987
528.4050938539757	19890
528.4166141336209	22586
528.4281341916261	22108
528.43965402796789	19716
528.45117364262251	20601
528.46269303556642	18537
528.47421220677575	19211
528.48573115622719	21603
528.49724988389687	21126
528.50876838976137	19190
528.5202866737967	19672
528.53180473597956	19884
528.5433225762863	17316
528.554840194693	16553
528.56635759117626	16579
528.57787476571252	17790
528.58939171827808	19588
528.60090844884917	17708
528.61242495740237	15895
528.62394124391392	16466
528.63545730836029	16065
528.64697315071771	16758
528.65848877096278	17152
528.67000416907183	17753
528.68151934502112	18392
528.6930342987871	18317
528.70454903034624	18419
528.71606353967491	21732
528.72757782674933	24354
528.739091891546	19671
528.75060573404141	20952
528.76211935421179	23412
528.77363275203379	21256
528.78514592748343	20234
528.79665888053739	23234
528.80817161117193	22731
528.81968411936361	20546
528.83119640508869	20029
528.84270846832362	20063
528.85422030904476	18737
528.86573192722858	18429
528.87724332285154	16913
528.88875449588988	14050
528.90026544632019	12689
528.9117761741187	12818
528.92328667926188	13915
528.93479696172631	14623
528.94630702148822	13645
528.9578168585241	14527
528.96932647281039	18087
528.98083586432335	18850
528.99234503303967	20722
529.00385397893547	22050
529.01536270198744	22845
529.026871202172	20792
529.03837947946522	22027
529.049887533844	22121
529.0613953652844	20014
529.072902973763	20090
529.08441035925625	22712
529.0959175217406	21496
529.10742446119252	20149
529.11893117758825	17385
529.13043767090437	17152
529.14194394111735	16929
529.15344998820353	17349
529.1649558121394	17152
529.1764614129014	15631
529.187966790466	13798
529.19947194480949	13834
529.21097687590861	13103
529.22248158373952	13844
529.23398606827891	14045
529.245490329503	15423
529.25699436738842	15274
